CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
PLSMP002493,SMP,SERVICIOS MEDICOS PRIVADOS,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,CHRISTUS MUGUERZA SISTEMAS HOSPITALARIOS S.A DE C.V HOSPITAL BETANIA,19.034002,-98.1880554,
PLSMP002732,SMP,SERVICIOS MEDICOS PRIVADOS,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,OPERADORA DE HOSPITALES ANGELES SA DE CV,19.0215172,-98.2355929,
PLSSA002490,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL GENERAL DR EDUARDO VAZQUEZ N,18.9862587,-98.2421342,
PLSSA005710,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL DE LA MUJER,18.9860572,-98.2408335,
PLSSA005821,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,UNIDAD DE ONCOLOGÍA,18.9853523,-98.241914,
PLSSA008485,SSA,SECRETARIA DE SALUD,21,PUEBLA,174,TEZIUTLAN,0001,TEZIUTLAN,HOSPITAL GENERAL DE TEZIUTLÁN,19.8219503,-97.3769416,
PLSSA009394,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL DE TRAUMATOLOGÍA Y ORTOPEDIA DOCTOR Y GENERAL RAFAEL MORENO VALLE,19.0866662,-98.1987049,
PLSSA015230,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL GENERAL DE LA ZONA NORTE  BICENTENARIO DE LA INDEPENDENCIA,19.079308,-98.1852166,
PLSSA015534,SSA,SECRETARIA DE SALUD,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,UNIDAD DE QUEMADOS (ANEXO AL HOSPITAL DEL NIÑO POBLANO),19.0345283,-98.2437793,
QRSSA000023,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,002,FELIPE CARRILLO PUERTO,0001,FELIPE CARRILLO PUERTO,HOSPITAL GENERAL FELIPE CARRILLO PUERTO,19.571196,-88.0457058,
QRSSA000361,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,004,OTHON P. BLANCO,0001,CHETUMAL,HOSPITAL MATERNO INFANTIL MORELOS,18.502269,-88.298131,
QRSSA000373,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,004,OTHON P. BLANCO,0001,CHETUMAL,HOSPITAL GENERAL DE CHETUMAL,18.517,-88.304,
QRSSA001044,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,005,BENITO JUAREZ,0001,CANCUN,HOSPITAL GENERAL DE CANCUN DR. JESÚS KUMATE RODRÍGUEZ,21.1764,-86.826,
QRSSA018001,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,008,SOLIDARIDAD,0001,PLAYA DEL CARMEN,HOSPITAL GENERAL DE PLAYA DEL CARMEN,20.6448025,-87.0949994,
QRSSA018062,SSA,SECRETARIA DE SALUD,23,QUINTANA ROO,005,BENITO JUAREZ,0001,CANCUN,HOSPITAL GENERAL DE CANCÚN DR JESUS KUMATE RODRIGUEZ,21.19531,-86.87687,
